sourceid,kingdomid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
16831,3,100,Hookeriales,Hookeriales,NULL,16814,Bryidae,1
16832,3,100,Isobryales,Isobryales,NULL,16814,Bryidae,1
16833,3,100,Pottiales,Pottiales,NULL,16814,Bryidae,1
16834,3,100,Fissidentales,Fissidentales,NULL,16814,Bryidae,1
16835,3,100,Orthotrichales,Orthotrichales,NULL,16814,Bryidae,1
16836,3,100,Grimmiales,Grimmiales,NULL,16814,Bryidae,1
16839,3,100,Dicranales,Dicranales,NULL,16814,Bryidae,1
16840,3,100,Schistostegiales,Schistostegiales,NULL,16814,Bryidae,1
16841,3,100,Bryales,Bryales,NULL,16814,Bryidae,1
16842,3,100,Hypnobryales,Hypnobryales,NULL,16814,Bryidae,1
16843,3,100,Splachnales,Splachnales,NULL,16814,Bryidae,1
16844,3,100,Funariales,Funariales,NULL,16814,Bryidae,1
16845,3,100,Archidiales,Archidiales,NULL,16814,Bryidae,1
16846,3,100,Seligerales,Seligerales,NULL,16814,Bryidae,1
16847,3,100,Leucodontales,Leucodontales,NULL,16814,Bryidae,1
16848,3,100,Tetraphidales,Tetraphidales,NULL,16814,Bryidae,1
16849,3,100,Polytrichales,Polytrichales,NULL,16814,Bryidae,1
32989,3,100,Ginkgoales,Ginkgoales,NULL,32987,Ginkgophyta,1
164408,3,100,Asparagales,Asparagales,NULL,234393,Monocots,1
164430,3,100,Charales,Charales,NULL,164429,Charophyceae,1
164441,3,100,Achnanthales,Achnanthales,NULL,16666,Bacillariophyceae,1
164442,3,100,Bacillariales,Bacillariales,NULL,16666,Bacillariophyceae,1
164445,3,100,Cymbellales,Cymbellales,NULL,16666,Bacillariophyceae,1
164446,3,100,Fragilariales,Fragilariales,NULL,16666,Bacillariophyceae,1
164447,3,100,Lyrellales,Lyrellales,NULL,16666,Bacillariophyceae,1
164448,3,100,Naviculales,Naviculales,NULL,16666,Bacillariophyceae,1
164450,3,100,Rhopalodiales,Rhopalodiales,NULL,16666,Bacillariophyceae,1
164452,3,100,Surirellales,Surirellales,NULL,16666,Bacillariophyceae,1
164453,3,100,Tabellariales,Tabellariales,NULL,16666,Bacillariophyceae,1
164456,3,100,Chaetophorales,Chaetophorales,NULL,164443,Chlorophyceae,1
164457,3,100,Chlorellales,Chlorellales,NULL,164454,Trebouxiophyceae,1
164458,3,100,Chlorococcales,Chlorococcales,NULL,164443,Chlorophyceae,1
164459,3,100,Cladophorales,Cladophorales,NULL,164455,Ulvophyceae,1
164467,3,100,Melosirales,Melosirales,NULL,164444,Coscinodiscophyceae,1
164469,3,100,Microsporales,Microsporales,NULL,164443,Chlorophyceae,1
164470,3,100,Oedogoniales,Oedogoniales,NULL,164443,Chlorophyceae,1
164471,3,100,Oocystales,Oocystales,NULL,164454,Trebouxiophyceae,1
164474,3,100,Prasiolales,Prasiolales,NULL,164454,Trebouxiophyceae,1
164476,3,100,Sphaeropleales,Sphaeropleales,NULL,164443,Chlorophyceae,1
164479,3,100,Tetrasporales,Tetrasporales,NULL,164443,Chlorophyceae,1
164480,3,100,Ulotrichales,Ulotrichales,NULL,164455,Ulvophyceae,1
164481,3,100,Ulvales,Ulvales,NULL,164455,Ulvophyceae,1
164482,3,100,Volvocales,Volvocales,NULL,164443,Chlorophyceae,1
164489,3,100,Batrachospermales,Batrachospermales,NULL,164462,Florideophyceae,1
164491,3,100,Chaetosphaeridiales,Chaetosphaeridiales,NULL,164468,Mesostigmatophyceae,1
164496,3,100,Coleochaetales,Coleochaetales,NULL,164461,Coleochaetophyceae,1
164511,3,100,Zygnematales,Zygnematales,NULL,164483,Zygnematophyceae,1
164538,3,100,Chroococcales,Chroococcales,NULL,164532,Cyanophyceae,1
164539,3,100,Euglenales,Euglenales,NULL,164533,Euglenophyceae,1
164540,3,100,Hydrurales,Hydrurales,NULL,164531,Chrysophyceae,1
164541,3,100,Mischococcales,Mischococcales,NULL,164534,Xanthophyceae,1
164542,3,100,Nostocales,Nostocales,NULL,164532,Cyanophyceae,1
164543,3,100,Oscillatoriales,Oscillatoriales,NULL,164532,Cyanophyceae,1
164544,3,100,Pseudanabaenales,Pseudanabaenales,NULL,164532,Cyanophyceae,1
164545,3,100,Synechococcales,Synechococcales,NULL,164532,Cyanophyceae,1
164546,3,100,Tribonematales,Tribonematales,NULL,164534,Xanthophyceae,1
164547,3,100,Vaucheriales,Vaucheriales,NULL,164534,Xanthophyceae,1
233088,3,100,incertae sedis sedis,incertae sedis,NULL,164454,Trebouxiophyceae,1
234315,3,100,Cyatheales,Cyatheales,NULL,233657,Polypodiopsida,1
234320,3,100,Gleicheniales,Gleicheniales,NULL,233657,Polypodiopsida,1
234322,3,100,Hymenophyllales,Hymenophyllales,NULL,233657,Polypodiopsida,1
234334,3,100,Osmundales,Osmundales,NULL,233657,Polypodiopsida,1
234339,3,100,Salviniales,Salviniales,NULL,233657,Polypodiopsida,1
234340,3,100,Schizaeales,Schizaeales,NULL,233657,Polypodiopsida,1
234370,3,100,Amborellales,Amborellales,NULL,234309,Anita Grade clade 1,1
234385,3,100,Austrobaileyales,Austrobaileyales,NULL,234371,Anita Grade clade 2,1
234399,3,100,Canellales,Canellales,NULL,234392,Magnoliids,1
234400,3,100,Chloranthales,Chloranthales,NULL,5570,Magnoliophyta,1
234406,3,100,Acorales,Acorales,NULL,234393,Monocots,1
234407,3,100,Ceratophyllales,Ceratophyllales,NULL,5570,Magnoliophyta,1
234427,3,100,Dioscoreales,Dioscoreales,NULL,234393,Monocots,1
234441,3,100,Buxales,Buxales,NULL,234401,Eudicots,1
234442,3,100,Poales,Poales,NULL,234434,Commelinids,1
